CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SignupDate,SatisfactionScore,Churn
CUST-10010,Male,0,Yes,No,52.132941008229594,Yes,Yes,Fiber optic,No,No,No internet service,Month-to-month,Yes,Electronic check,45.46,2366.45,INVALID_DATE,4.0,No
CUST-10011,Fe-male,0,No,,31.338263475376564,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),88.33,2765.21,INVALID_DATE,3.0,No
CUST-10012,Female,0,No,Yes,63.08291041910205,Yes,No,Fiber optic,No internet service,No,Yes,Month-to-month,No,Mailed check,81.38,5131.3,11/01/2018,1.0,No
CUST-10013,Male,0,No,Yes,9.70681254492916,,No,DSL,No,,Yes,Month-to-month,Yes,Credit card (automatic),120.0,$1180.61,"Jan 12, 2018",4.0,Yes
CUST-10014,Male,0,Yes,No,16.790080880553788,,Yes,DSL,No,Yes,No,One year,Yes,Credit card (automatic),51.35,841.74,2018-01-13,4.0,Yes
CUST-10015,Male,Yes,Yes,No,0.34031332915439494,No,Yes,Fiber optic,No,No,No,month-to-month,Yes,Electronic check,55.6,15.2,2018-01-14,3.0,No
CUST-10016,Male,0,Yes,Yes,0.1675657000949816,Yes,no,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),60.06,7.53,2018-01-15,4.0,No
CUST-10017,Female,0,Yes,Yes,6.590483170543701,,Yes,No,Yes,Yes,,One year,Yes,Bank transfer (automatic),61.37,410.78,2018-01-15,1.0,Yes
CUST-10018,Male,0,No,No,2.550187291453381,Yes,No,Fiber optic,Yes,No internet service,No,Two year,,Bank transfer (automatic),95.51,243.02,2018-01-16,4.0,
CUST-10019,Male,1,No,Yes,7.233378382325341,Yes,No,,No,No,Yes,Month-to-month,No,Mailed check,56.41,408.37,2018-01-17,4.0,Yes
CUST-10020,Female,0,No,No,4.676440450418804,Yes,,Fiber optic,No,,Yes,Month-to-month,Yes,Electronic check,120.0,578.15,2018-01-18,3.0,Yes
CUST-10021,Male,0,Yes,No,0.6944309439830346,Yes,Yes,Fiber optic,No internet service,No,Yes,Two year,No,Electronic check,82.17,57.65,2018-01-19,4.0,Yes
CUST-10022,Male,0,NO,No,57.60584732444372,No,No phone service,DSL,No,No,No,Two year,Yes,Credit card (automatic),50.13,$2883.31,2018-01-20,4.0,No
CUST-10023,Male,0,No,No,0.19817106800579531,No,Yes,Fiber optic,Yes,Yes,No,One year,No,Electronic check,42.46,8.69,"Jan 21, 2018",3.0,No
CUST-10024,Female,1,yes,No,31.97081704910124,Yes,No,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),95.93,3067.79,2018-01-22,2.0,No
CUST-10025,Female,0,No,No,3.961177280425487,Yes,No,DSL,No,Yes,No,Month-to-month,Yes,Mailed check,65.56,281.92,2018-01-22,2.0,Yes
CUST-10026,Male,0,Yes,No,58.39274917613055,Yes,No,dsl,No,No,Yes,One year,No,Credit card (automatic),64.97,3780.52,2018-01-23,,No
CUST-10027,Female,No,Yes,No,53.59250769846549,Yes,Yes,,No,No,No,Month-to-month,Yes,,46.75,2516.19,"Jan 24, 2018",3.0,No
CUST-10028,Female,0,No,No,25.464740174279342,Yes,No phone service,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),62.86,1604.63,2018-01-25,1.0,Yes
CUST-10029,Male,nan,Yes,Yes,26.77093912485072,Yes,No,DSL,Yes,No,No,Two year,No,Mailed check,45.53,1209.73,2018-01-26,5.0,No
CUST-10030,Female,0,Yes,Yes,0.12848270701212772,Yes,No,DSL,No,No,No internet service,Two year,No,Mailed check,105.55,17.17,2018-01-27,2.0,Yes
CUST-10031,Male,1,No,Yes,72.0,Yes,No,DSL,Yes,Yes,No,Two year,No,Electronic check,86.21,6192.17,2018-01-28,3.0,No
CUST-10032,Male,0,No,Yes,50.45671374918807,Yes,No,DSL,No,No,No internet service,Month-to-month,N,Electronic check,59.46,3004.93,2018-01-29,2.0,No
CUST-10033,  Male ,0,No,No,54.1153707487608,Yes,No phone service,Fiber optic,Yes,No internet service,,Month-to-month,No,Bank transfer (automatic),59.02,3200.7,2018-01-29,99.0,No
CUST-10034,Fe-male,1,Yes,No,25.8381642336377,Yes,No,DSL,No internet service,No,No,Two year,No,Credit card (automatic),67.47,1763.29,2018-01-30,3.0,Yes
CUST-10035,Female,1,Yes,No,10.14707511555157,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,No,Electronic check,64.53,645.62,"Jan 31, 2018",4.0,Yes
CUST-10036,Male,1,No,No,53.784168838303565,Yes,No,Fiber optic,No,No,Yes,Two year,Yes,Mailed check,35.99,1936.32,2018-02-01,3.0,No
CUST-10037,Male,0,NO,No,8.271098713952707,Yes,No,DSL,No internet service,Yes,Yes,,Yes,Bank transfer (automatic),18.0,147.63,02/02/2018,1.0,No
CUST-10038,Female,1,No,No,19.851893226263382,Yes,No,Fiber optic,No internet service,Yes,No,Two year,No,Credit card (automatic),40.77,803.22,2018-02-03,3.0,No
CUST-10039,Male,1,yes,No,2.5214793769796575,Yes,Yes,dsl,No,No,No internet service,One year,Yes,Electronic check,60.84,144.65,2018-02-04,3.0,Yes
CUST-10040,Male,0,No,Yes,61.21146646971118,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,42.57,2603.78,2018-02-05,,No
CUST-10041,Female,1,No,Yes,3.6412601377257725,Yes,No,Fiber optic,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),89.28,326.18,"Feb 05, 2018",4.0,Yes
CUST-10042,Male,1,Yes,No,6.1142185103216296,Yes,Yes,No,No,No,No internet service,One year,Yes,Electronic check,57.83,348.49,2018-02-06,5.0,Yes
CUST-10043,male,0,No,,19.601975235707656,Yes,Yes,Fiber optic,No,,No internet service,Month-to-month,No,Bank transfer (automatic),120.0,2355.73,2018-02-07,3.0,No
CUST-10044,Male,0,No,Yes,34.66362288770581,Yes,Yes,No,No internet service,,Yes,Two year,Yes,Bank transfer (automatic),47.86,,2018-02-08,3.0,No
CUST-10045,Female,0,No,Yes,23.181081409002907,Yes,No,DSL,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,68.92, ,2018-02-09,3.0,No
CUST-10046,Male,0,No,No,6.339358239914908,Yes,No phone service,No,Yes,Yes,No,Two year,Yes,Mailed check,56.03, ,2018-02-10,4.0,Yes
CUST-10047,Female,0,No,Yes,0.022643699324423026,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,No,Credit card (automatic),77.89,16.58,2018-02-11,4.0,Yes
CUST-10048,Female,0,Yes,No,33.96752879435376,Yes,Yes,fiber optic,No,No internet service,,Month-to-month,No,Electronic check,-96.67,3283.05,"Feb 12, 2018",4.0,Yes
CUST-10049,Male,0,No,No,72.0,Yes,Yes,DSL,No,Yes,No internet service,Two year,Y,Electronic check,82.95,5974.43,12/02/2018,5.0,No
CUST-10050,Fe-male,0,Yes,yes,39.84657719488706,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,18.0,718.68,2018-02-13,1.0,No
CUST-10051,Female,0,No,No,14.797652132636635,Yes,No,dsl,No,No,No internet service,One year,No,Mailed check,79.7,1176.08,2018-02-14,4.0,Yes
CUST-10052,FEMALE,1,Yes,No,56.183655866614544,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),-34.37,1922.55,2018-02-15,4.0,No
CUST-10053,male,Yes,Yes,No,12.656990262001248,Yes,Yes,dsl,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),55.41,708.29,16/02/2018,3.0,No
CUST-10054,Female,0,Yes,No,17.863241149473865,No,No,DSL,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),$85.38,1511.21,2018-02-17,4.0,Yes
CUST-10055,FEMALE,No,No,No,15.56212720607595,Yes,No phone service,DSL,No,No,No,month-to-month,Yes,Electronic check,31.11,486.18,2018-02-18,5.0,Yes
CUST-10056,Male,0,Yes,Yes,14.2446257915325,Yes,No,Fiber optic,No internet service,No internet service,No,Two year,Yes,Electronic check,,1406.67,"Feb 19, 2018",3.0,Yes
CUST-10057,Male,0,Yes,No,35.82007439869839,Yes,Yes,,No,Yes,Yes,Two year,Yes,Electronic check,54.1,1939.81,2018-02-19,2.0,No
CUST-10058,Male,0,No,No,17.9561145998436,No,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Credit card (automatic),120.0,2157.77,2018-02-20,3.0,No
CUST-10059,Male,0,Yes,No,9.14031204849501,Yes,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,Mailed check,66.76,617.32,21/02/2018,5.0,No
CUST-10060,Male,1,yes,No,7.166861339943267,Yes,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Mailed check,115.86,839.49,2018-02-22,4.0,No
CUST-10061,Male,1,yes,No,0.9234767647592291,Yes,No,dsl,No,Yes,No,One year,,Credit card (automatic),100.63,89.02,2018-02-23,2.0,Yes
CUST-10062,Female,0,No,Yes,21.00329234025948,Yes,Yes,No,No,No,No,Two year,No,Mailed check,46.37,964.54,2018-02-24,4.0,No
CUST-10063,Male,0,Yes,No,6.271551732505879,Yes,,DSL,No,,Yes,Month-to-month,Yes,Electronic check, 25.6 ,138.82,"Feb 25, 2018",2.0,No
CUST-10064,Male,0,No,No,3.847822799351751,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Mailed check,68.11,242.02,2018-02-26,3.0,No
CUST-10065,Female,0,Yes,No,25.459804574748304,No,Yes,DSL,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),47.22,1210.1,2018-02-26,3.0,No
CUST-10066,Male,0,No,No,27.437288929884957,No,No,Fiber optic,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic), 112.1 ,3063.5,2018-02-27,3.0,Yes
CUST-10067,Female,0,Yes,Yes,33.47883104386979,Yes,Yes,DSL,No,No,No,One year,No,Bank transfer (automatic),57.29,1923.15,2018-02-28,1.0,Yes
CUST-10068,Male,1,yes,No,16.807840423354783,,Yes,DSL,No,No,No internet service,One year,No,Electronic check,55.69, ,01/03/2018,4.0,Yes
CUST-10069,,Yes,Yes,Yes,53.87595506483823,Yes,Yes,No,No,No internet service,Yes,Two year,Yes,Electronic check,22.82,1250.76,2018-03-02,5.0,No
CUST-10070,Female,0,No,No,66.10181063244282,Yes,No,DSL,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.28,,03/03/2018,3.0,Yes
CUST-10071,Male,1,No,No,39.52773377433939,Yes,no,Fiber optic,Yes,No,Yes,1-Year,No,Credit card (automatic),29.47,1154.2,2018-03-04,2.0,No
CUST-10072,Male,0,No,Yes,24.227645444192135,Yes,No,Fiber optic,No internet service,No,Yes,Month-to-month,No,Electronic check,77.97,1889.34,2018-03-05,2.0,Yes
CUST-10073,Female,0,Yes,No,8.68811448599712,Yes,No,DSL,No,No,Yes,Month-to-month,No,Electronic check,82.1,709.74,2018-03-05,2.0,Yes
CUST-10074,Female,0,  Yes,Yes,72.0,Yes,No,Fiber optic,No,No,No internet service,One year,No,Bank transfer (automatic),42.21,3051.67,06/03/2018,2.0,No
CUST-10075,Female,0,No,Yes,7.689428156740355,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),93.4,710.51,2018-03-07,5.0,Yes
CUST-10076,Female,nan,No,No,5.435285545691995,Yes,No,No,No internet service,No internet service,No,Month-to-month,N,Electronic check,56.45,304.3,"Mar 08, 2018",3.0,Yes
CUST-10077,Male,0,Yes,No,,Yes,No,DSL,No,Yes,No,Month-to-month,No,Bank transfer (automatic),20.56, ,2018/03/09 11:29,1.0,no
CUST-10078,Male,0,No,No,1.4044786700669682,Yes,Yes,Fiber optic,No internet service,Yes,Yes,One year,Yes,Credit Card,111.06,143.64,10/03/2018,2.0,Yes
CUST-10079,Male,0,Yes,No,72.0,No,Yes,No,,Yes,No internet service,Two year,Yes,Bank transfer (automatic),37.0,2658.9,INVALID_DATE,0.0,No
CUST-10080,Female,0,Yes,No,21.30683532265465,Yes,Yes,Fiber optic,No internet service,No,Yes,One year,Yes,Mailed check,79.91,1691.07,2018-03-12,3.0,No
CUST-10081,Female,0,Yes,No,19.53785686936031,No,No,No,No internet service,No,Yes,One year,No,Credit card (automatic),77.47,1515.94,2018-03-12,3.0,Yes
CUST-10082,Male,0,No,Yes,25.59651809524324,Yes,Yes,fiber optic,Yes,No,Yes,Month-to-month,Yes,Electronic check,76.38,1970.34,2018-03-13,3.0,No
CUST-10083,Male,0,Yes,Yes,16.493090963067303,Yes,No phone service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,75.86,1251.91,2018-03-14,1.0,Yes
CUST-10084,Male,0,Yes,No,0.7821314565994254,No,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,35.59,35.99,2018-03-15,,Yes
CUST-10085,Male,0,No,No,22.741261252611686,Yes,No,No,No internet service,No,No,Two year,Yes,Mailed check,,,2018-03-16,1.0,Yes
CUST-10086,Female,0,No,No,30.225443306938153,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card (automatic),93.39,9879.37,2018-03-17,4.0,No
CUST-10087,Female,0,Yes,No,12.939306179833068,Yes,No,DSL,No,No,No,,No,Electronic check,78.95,1011.57,2018-03-18,1.0,Yes
CUST-10088,male,0,No,No,33.9818621271059,Yes,No phone service,DSL,Yes,No,Yes,Month-to-month,No,Electronic check, 24.7 ,839.39,2018-03-19,3.0,No
CUST-10089,Female,1,Yes,Yes,6.179469871191537,,No,DSL,No internet service,No internet service,,One year,Yes,Credit card (automatic),35.35,213.73,2018-03-19,5.0,Yes
CUST-10090,Male,1,Yes,Yes,6.002384527075975,Yes,No,DSL,Yes,Yes,Yes,month-to-month,No,Electronic check,84.42,510.96,2018-03-20,4.0,Yes
CUST-10091,Female,1,Yes,No,4.225000839605807,No,no,DSL,No,Yes,No,Month-to-month,No,Mailed check,18.0,87.8,21/03/2018,3.0,Yes
CUST-10092,Female,0,No,No,11.164962438335463,Yes,no,DSL,No internet service,No,No,Two year,Yes,Bank transfer (automatic),74.86,831.79,2018-03-22,3.0,Yes
CUST-10093,Female,0,Yes,No,45.0575045605805,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit Card,24.76,1117.73,"Mar 23, 2018",2.0,No
CUST-10094,Female,0,Yes,Yes,42.23399198989685,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),38.66,1649.96,"Mar 24, 2018",0.0,Yes
CUST-10095,Female,1,Yes,,11.582433155938642,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Mailed check,22.37,246.09,25/03/2018,4.0,Yes
CUST-10096,Female,0,No,Yes,21.346824037277752,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),72.08,1552.22,2018-03-26,3.0,No
CUST-10097,Male,0,Yes,Yes,30.621248397552268,Yes,No phone service,DSL,No,No,Yes,Month-to-month,No,Credit Card,98.19,2991.99,27/03/2018,3.0,Yes
CUST-10098,Male,0,Yes,,6.624623257016269,Yes,No,No,,,No,Month-to-month,No,Credit card (automatic),75.14,,2018-03-27,2.0,Yes
CUST-10099,Male,0,Yes,Yes,4.4182182463923905,Yes,Yes,Fiber optic,No,No,No,,No,Electronic check,78.43,344.39,2018-03-28,4.0,Yes
CUST-10100,Male,0,Yes,No,72.0,Yes,No,DSL,Yes,Yes,No,Month-to-month,No,Credit card (automatic),69.74,5029.06,2018-03-29,3.0,No
CUST-10101,Female,0,No,Yes,23.068235409575244,Yes,No,DSL,No,No,Yes,Month-to-month,No,Credit card (automatic),85.18,1959.83,2018-03-30,3.0,Yes
CUST-10102,Male,1,No,No,72.0,Yes,No,DSL,,Yes,No internet service,,Yes,Bank transfer (automatic),78.71,5669.45,31/03/2018,5.0,No
CUST-10103,Female,0,Yes,No,9.890908595114203,Yes,No,DSL,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),,165.47,2018-04-01,2.0,yes
CUST-10104,male,0,Yes,No,,Yes,No,DSL,No,No,Yes,Month-to-month,No,Mailed check,91.89, ,2018-04-02,2.0,No
CUST-10105,Male,0,Yes,No,6.043318521601481,Yes,yes,DSL,No,No,Yes,Two year,No,Bank transfer (automatic),88.73,534.97,2018-04-03,3.0,No
CUST-10106,Male,0,Yes,Yes,7.265478299621968,Yes,No,DSL,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),53.83,406.65,2018-04-03,2.0,Yes
CUST-10107,Female,0,Yes,No,17.21374372972546,Yes,No,DSL,No internet service,Yes,No,Month-to-month,No,Electronic check,18.0,297.94,2018-04-04,3.0,Yes
CUST-10108,Male,1,No,No,9.242425399293808,Yes,Yes,,No,No internet service,No,Month-to-month,Yes,Electronic check,71.97,670.34,2018-04-05,4.0,Yes
CUST-10109,Male,0,NO,Yes,4.403234170109118,Yes,Yes,DSL,No,No internet service,No,One year,No,Electronic check,74.5,343.8,2018-04-06,1.0,Yes
CUST-10110,Male,1,  Yes,No,7.320132723254755,No,No,DSL,No,No,No,Month-to-month,No,Credit card (automatic),51.49,369.98,2018-04-07,2.0,Yes
CUST-10111,Male,0,No,Yes,0.8736724040437106,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),70.3,57.88,2018-04-08,2.0,Yes
CUST-10112,FEMALE,0,No,No,29.251872081042038,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,96.86,2825.92,2018-04-09,1.0,Yes
CUST-10113,Female,1,No,No,16.260083944985766,Yes,Yes,Fiber optic,No,No,No,Month-to-month,No,Credit card (automatic),120.0,1958.81,2018-04-10,2.0,Yes
CUST-10114,Female,0,Yes,Yes,2.3756230595707732,Yes,yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),69.11,172.63,2018-04-10,2.0,Yes
CUST-10115,Female,0,No,No,4.520942864544793,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),74.72,350.39,2018-04-11,3.0,Yes
CUST-10116,Female,0,Yes,No,2.5963354064865265,Yes,No,DSL,Yes,No internet service,No,One year,No,Electronic check,39.99,120.65,2018-04-12,4.0,No
CUST-10117,Male,0,No,No,22.75869513846627,Yes,No,DSL,Yes,Yes,Yes,One year,No,Mailed check,49.66,1116.89,"Apr 13, 2018",2.0,Yes
CUST-10118,male,1,No,,2.3747565436093794,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.62, ,2018-04-14,4.0,No
CUST-10119,Female,0,Yes,No,33.685730338114595,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.03,3359.48,2018-04-15,1.0,Yes
CUST-10120,Female,1,Yes,No,0.497380548264554,Yes,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,No,Mailed check,89.27,63.16,"Apr 16, 2018",4.0,Yes
CUST-10121,male,1,yes,No,6.884403262435382,Yes,No phone service,DSL,No,No internet service,,Month-to-month,No,Mailed check,120.0,834.93,2018-04-17,4.0,Yes
CUST-10122,Male,0,Yes,Yes,53.12049704743936,Yes,Yes,Fiber optic,No,No,Yes,One year,Yes,Credit card (automatic),19.99,1071.3,2018-04-17,4.0,No
CUST-10123,Male,1,No,No,30.425618208536143,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,One year,Yes,Mailed check,24.99,752.26,"Apr 18, 2018",2.0,No
CUST-10124,Male,0,No,No,1.8184212764648606,Yes,No,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,97.76,186.1,2018-04-19,3.0,Yes
CUST-10125,Male,No,No,No,41.3057811778737,Yes,No,Fiber optic,Yes,No internet service,,One year,Y,Mailed check,108.17,4468.82,2018-04-20,4.0,yes
CUST-10126,Female,0,No,No,16.303525225087164,Yes,No,Fiber optic,No internet service,No,Yes,,Yes,Electronic check,65.69,1081.65,2018-04-21,3.0,Yes
CUST-10127,Female,0,Yes,No,45.02160573832917,Yes,Yes,DSL,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),18.0,819.3,2018-04-22,2.0,No
CUST-10128,Male,0,Yes,No,22.035405127648133,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,42.39,$942.32,2018-04-23,5.0,No
CUST-10129,Female,0,No,No,27.48429545989078,Yes,Yes,Fiber optic,No,No,No,Two year,Yes,Bank transfer (automatic),74.76,2051.07,2018-04-24,4.0,No
CUST-10130,Male,0,No,No,72.0,No,No,DSL,No,No,No,Month-to-month,No,Electronic check,37.72,2716.84,24/04/2018,4.0,No
CUST-10131,Male,1,No,No,6.3456612014912785,Yes,Yes,dsl,No internet service,Yes,No,Two year,No,Mailed check,70.25,441.79,2018-04-25,1.0,No
CUST-10132,Male,0,Yes,No,23.472513554212533,Yes,Yes,Fiber optic,No,No,Yes,2-Year,No,Credit card (automatic),120.0,,2018-04-26,3.0,Yes
CUST-10133,Male,0,Yes,,14.802755601091826,No,No,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,,107.48,1587.43,2018-04-27,3.0,Yes
CUST-10134,  Male ,1,NO,No,,,No,DSL,Yes,No,No,Two year,Yes,Mailed check,88.97, ,2018-04-28,3.0,Yes
CUST-10135,Male,0,Yes,Yes,,Yes,No,Fiber optic,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,62.77, ,2018-04-29,2.0,Yes
CUST-10136,Female,No,No,No,3.0469713455357588,Yes,no,DSL,No internet service,No,No,Month-to-month,Yes,Electronic check,$49.86, ,2018-04-30,3.0,No
CUST-10137,Female,1,Yes,No,25.133531009635405,Yes,No,Fiber optic,No,No,No internet service,Month-to-month,No,Mailed check,87.43,2204.12,2018-05-01,4.0,Yes
CUST-10138,Male,No,No,Yes,20.097462441119752,Yes,No,Fiber optic,No,No,,Month-to-month,Yes,Bank transfer (automatic), 65.5 ,1307.53,2018-05-01,3.0,yes
CUST-10139,,1,yes,Yes,19.34779520054445,No,No,Fiber optic,No,No,No,One year,Yes,Mailed check,66.49,1300.06,2018-05-02,4.0,no
CUST-10140,Fe-male,0,No,No,0.7770055213836462,Yes,Yes,DSL,No,No,Yes,Month-to-month,Yes,Credit card (automatic),18.16,31.45,2018-05-03,3.0,Yes
CUST-10141,Male,0,Yes,No,15.20553684519897,Yes,No,No,No,Yes,Yes,Two year,Y,Bank transfer (automatic),43.26,661.3,04/05/2018,3.0,No
CUST-10142,Female,1,No,No,62.04601616818309,Yes,No,DSL,No,Yes,Yes,Month-to-month,Yes,Electronic check,87.26,5406.7,2018-05-05,2.0,No
CUST-10143,Male,0,No,Yes,12.163682530254189,No,No,Fiber optic,Yes,,Yes,Month-to-month,No,Credit card (automatic),31.67,418.0,2018-05-06,4.0,No
CUST-10144,Male,0,Yes,Yes,23.53494065160496,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),72.67,1716.45,"May 07, 2018",2.0,No
CUST-10145,Male,0,No,No,36.31929288922823,,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.08,2772.96,INVALID_DATE,4.0,No
CUST-10146,Female,No,No,No,36.77114402926213,Yes,No,DSL,No,No,Yes,Month-to-month,Yes,Credit card (automatic),78.83,2890.71,2018-05-08,3.0,No
CUST-10147,Female,0,No,Yes,17.579291288548678,Yes,Yes,Fiber optic,No internet service,No,No internet service,Two year,No,Credit card (automatic),81.51,1436.45,2018-05-09,3.0,Yes
CUST-10148,Male,0,No,No,46.838156783278116,Yes,Yes,DSL,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),83.53,3917.49,10/05/2018,5.0,No
CUST-10149,Male,0,Yes,No,11.917393128884488,Yes,Yes,Fiber optic,Yes,No,No internet service,One year,No,Credit card (automatic),45.99,,2018-05-11,2.0,Yes
CUST-10150,male,0,Yes,Yes,52.691161422230834,Yes,No,DSL,Yes,No internet service,Yes,Month-to-month,N,Bank transfer (automatic),20.67,1103.24,2018-05-12,3.0,No
CUST-10151,Male,0,Yes,Yes,-5.0,Yes,Yes,Fiber optic,Yes,No,No,One year,Yes,Mailed check,38.49, ,2018-05-13,3.0,Yes
CUST-10152,Male,0,No,Yes,7.8913122579722454,,No,Fiber optic,Yes,No,Yes,One year,Yes,Mailed check,86.6,678.9,INVALID_DATE,99.0,No
CUST-10153,Female,0,No,No,1.310005655690296,Yes,No,DSL,,No internet service,No,Month-to-month,Yes,Credit card (automatic),28.67,35.04,INVALID_DATE,4.0,Yes
CUST-10154,,1,No,No,38.102101494792265,Yes,no,DSL,Yes,,No,One year,Yes,Electronic check,33.48,1268.12,15/05/2018,4.0,Yes
CUST-10155,Male,0,Yes,No,12.951908206674165,Yes,Yes,DSL,No,,No,Month-to-month,Yes,Mailed check,33.32,,2018-05-16,2.0,Yes
CUST-10156,Female,1,Yes,No,6.24523600962267,Yes,Yes,Fiber optic,Yes,No,No internet service,Two year,No,Bank transfer (automatic),18.0,114.65,2018-05-17,2.0,No
CUST-10157,Female,0,No,No,6.328620170228551,No,Yes,Fiber optic,No,Yes,No internet service,Two year,No,Bank transfer (automatic),136.3,174.82,2018-05-18,1.0,No
CUST-10158,Male,0,No,No,,Yes,,Fiber optic,,Yes,No,One year,No,Bank transfer (automatic),94.71, ,"May 19, 2018",4.0,Yes
CUST-10159,Female,0,Yes,No,43.08636503828261,Yes,Yes,Fiber optic,No,No internet service,Yes,Two year,No,Mailed check,43.2,1853.13,20/05/2018,3.0,No
CUST-10160,Male,0,No,Yes,19.35324127657524,Yes,Yes,DSL,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,1219.25,21/05/2018,3.0,Yes
