CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SignupDate,SatisfactionScore,Churn,SignupDate_Parsed,CustomerAgeDays
CUST-10041,Female,1.0,No,Yes,3.6412601377257725,Yes,No,Fiber optic,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),89.28,326.18,"Feb 05, 2018",4,Yes,2018-02-05 00:00:00.000000000,2156
CUST-10042,Male,1.0,Yes,No,6.1142185103216296,Yes,Yes,No,No,No,No internet service,One year,Yes,Electronic check,57.83,348.49,2018-02-06,5,Yes,2018-02-06 00:00:00.000000000,2155
CUST-10043,Male,0.0,No,No,19.601975235707656,Yes,Yes,Fiber optic,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),120.0,2355.73,2018-02-07,3,No,2018-02-07 00:00:00.000000000,2154
CUST-10044,Male,0.0,No,Yes,34.66362288770581,Yes,Yes,No,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),47.86,1659.0009914056002,2018-02-08,3,No,2018-02-08 00:00:00.000000000,2153
CUST-10045,Female,0.0,No,Yes,23.181081409002907,Yes,No,DSL,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,68.92,1597.6401307084805,2018-02-09,3,No,2018-02-09 00:00:00.000000000,2152
CUST-10046,Male,0.0,No,No,6.339358239914908,Yes,No phone service,No,Yes,Yes,No,Two year,Yes,Mailed check,56.03,355.19424218243233,2018-02-10,4,Yes,2018-02-10 00:00:00.000000000,2151
CUST-10047,Female,0.0,No,Yes,0.022643699324423026,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,No,Credit card (automatic),77.89,16.58,2018-02-11,4,Yes,2018-02-11 00:00:00.000000000,2150
CUST-10048,Female,0.0,Yes,No,33.96752879435376,Yes,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,No,Electronic check,90.958,3283.05,"Feb 12, 2018",4,Yes,2018-02-12 00:00:00.000000000,2149
CUST-10049,Male,0.0,No,No,72.0,Yes,Yes,DSL,No,Yes,No internet service,Two year,Yes,Electronic check,82.95,5974.43,12/02/2018,5,No,2018-12-02 00:00:00.000000000,1856
CUST-10050,Female,0.0,Yes,Yes,39.84657719488706,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,18.0,718.68,2018-02-13,1,No,2018-02-13 00:00:00.000000000,2148
CUST-10051,Female,0.0,No,No,14.797652132636635,Yes,No,DSL,No,No,No internet service,One year,No,Mailed check,79.7,1176.08,2018-02-14,4,Yes,2018-02-14 00:00:00.000000000,2147
CUST-10052,Female,1.0,Yes,No,56.183655866614544,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.60400000000001,1922.55,2018-02-15,4,No,2018-02-15 00:00:00.000000000,2146
CUST-10053,Male,1.0,Yes,No,12.656990262001248,Yes,Yes,DSL,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),55.41,708.29,16/02/2018,3,No,2018-02-16 00:00:00.000000000,2145
CUST-10054,Female,0.0,Yes,No,17.863241149473865,No,No,DSL,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),85.38,1511.21,2018-02-17,4,Yes,2018-02-17 00:00:00.000000000,2144
CUST-10055,Female,0.0,No,No,15.56212720607595,Yes,No phone service,DSL,No,No,No,Month-to-month,Yes,Electronic check,31.11,486.18,2018-02-18,5,Yes,2018-02-18 00:00:00.000000000,2143
CUST-10056,Male,0.0,Yes,Yes,14.2446257915325,Yes,No,Fiber optic,No internet service,No internet service,No,Two year,Yes,Electronic check,48.672000000000004,1406.67,"Feb 19, 2018",3,Yes,2018-02-19 00:00:00.000000000,2142
CUST-10057,Male,0.0,Yes,No,35.82007439869839,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,Yes,Electronic check,54.1,1939.81,2018-02-19,2,No,2018-02-19 00:00:00.000000000,2142
CUST-10058,Male,0.0,No,No,17.9561145998436,No,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Credit card (automatic),120.0,2157.77,2018-02-20,3,No,2018-02-20 00:00:00.000000000,2141
CUST-10059,Male,0.0,Yes,No,9.14031204849501,Yes,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,Mailed check,66.76,617.32,21/02/2018,5,No,2018-02-21 00:00:00.000000000,2140
CUST-10060,Male,1.0,Yes,No,7.166861339943267,Yes,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Mailed check,115.86,839.49,2018-02-22,4,No,2018-02-22 00:00:00.000000000,2139
CUST-10061,Male,1.0,Yes,No,0.9234767647592291,Yes,No,DSL,No,Yes,No,One year,Yes,Credit card (automatic),100.63,89.02,2018-02-23,2,Yes,2018-02-23 00:00:00.000000000,2138
CUST-10062,Female,0.0,No,Yes,21.00329234025948,Yes,Yes,No,No,No,No,Two year,No,Mailed check,46.37,964.54,2018-02-24,4,No,2018-02-24 00:00:00.000000000,2137
CUST-10063,Male,0.0,Yes,No,6.271551732505879,Yes,Yes,DSL,No,No,Yes,Month-to-month,Yes,Electronic check,25.6,138.82,"Feb 25, 2018",2,No,2018-02-25 00:00:00.000000000,2136
CUST-10064,Male,0.0,No,No,3.847822799351751,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Mailed check,68.11,242.02,2018-02-26,3,No,2018-02-26 00:00:00.000000000,2135
CUST-10065,Female,0.0,Yes,No,25.459804574748304,No,Yes,DSL,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),47.22,1210.1,2018-02-26,3,No,2018-02-26 00:00:00.000000000,2135
CUST-10066,Male,0.0,No,No,27.437288929884957,No,No,Fiber optic,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),112.1,3063.5,2018-02-27,3,Yes,2018-02-27 00:00:00.000000000,2134
CUST-10067,Female,0.0,Yes,Yes,33.47883104386979,Yes,Yes,DSL,No,No,No,One year,No,Bank transfer (automatic),57.29,1923.15,2018-02-28,1,Yes,2018-02-28 00:00:00.000000000,2133
CUST-10068,Male,1.0,Yes,No,16.807840423354783,Yes,Yes,DSL,No,No,No internet service,One year,No,Electronic check,55.69,936.0286331766279,01/03/2018,4,Yes,2018-01-03 00:00:00.000000000,2189
CUST-10069,Male,1.0,Yes,Yes,53.87595506483823,Yes,Yes,No,No,No internet service,Yes,Two year,Yes,Electronic check,22.82,1250.76,2018-03-02,5,No,2018-03-02 00:00:00.000000000,2131
CUST-10070,Female,0.0,No,No,66.10181063244282,Yes,No,DSL,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.28,5108.347925675182,03/03/2018,3,Yes,2018-03-03 00:00:00.000000000,2130
CUST-10071,Male,1.0,No,No,39.52773377433939,Yes,no,Fiber optic,Yes,No,Yes,One year,No,Credit card (automatic),29.47,1154.2,2018-03-04,2,No,2018-03-04 00:00:00.000000000,2129
CUST-10072,Male,0.0,No,Yes,24.227645444192135,Yes,No,Fiber optic,No internet service,No,Yes,Month-to-month,No,Electronic check,77.97,1889.34,2018-03-05,2,Yes,2018-03-05 00:00:00.000000000,2128
CUST-10073,Female,0.0,Yes,No,8.68811448599712,Yes,No,DSL,No,No,Yes,Month-to-month,No,Electronic check,82.1,709.74,2018-03-05,2,Yes,2018-03-05 00:00:00.000000000,2128
CUST-10074,Female,0.0,Yes,Yes,72.0,Yes,No,Fiber optic,No,No,No internet service,One year,No,Bank transfer (automatic),42.21,3051.67,06/03/2018,2,No,2018-06-03 00:00:00.000000000,2038
CUST-10075,Female,0.0,No,Yes,7.689428156740355,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),93.4,710.51,2018-03-07,5,Yes,2018-03-07 00:00:00.000000000,2126
CUST-10076,Female,0.0,No,No,5.435285545691995,Yes,No,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,56.45,304.3,"Mar 08, 2018",3,Yes,2018-03-08 00:00:00.000000000,2125
CUST-10077,Male,0.0,Yes,No,20.131991395300073,Yes,No,DSL,No,Yes,No,Month-to-month,No,Bank transfer (automatic),20.56,413.9137430873695,2018/03/09 11:29,1,No,2018-03-09 11:29:00.000000000,2123
CUST-10078,Male,0.0,No,No,1.4044786700669682,Yes,Yes,Fiber optic,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),111.06,143.64,10/03/2018,2,Yes,2018-10-03 00:00:00.000000000,1916
CUST-10079,Male,0.0,Yes,No,72.0,No,Yes,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),37.0,2658.9,INVALID_DATE,3,No,2017-12-31 07:40:47.999999975,2191
CUST-10080,Female,0.0,Yes,No,21.30683532265465,Yes,Yes,Fiber optic,No internet service,No,Yes,One year,Yes,Mailed check,79.91,1691.07,2018-03-12,3,No,2018-03-12 00:00:00.000000000,2121
CUST-10081,Female,0.0,Yes,No,19.53785686936031,No,No,No,No internet service,No,Yes,One year,No,Credit card (automatic),77.47,1515.94,2018-03-12,3,Yes,2018-03-12 00:00:00.000000000,2121
CUST-10082,Male,0.0,No,Yes,25.59651809524324,Yes,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Electronic check,76.38,1970.34,2018-03-13,3,No,2018-03-13 00:00:00.000000000,2120
CUST-10083,Male,0.0,Yes,Yes,16.493090963067303,Yes,No phone service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,75.86,1251.91,2018-03-14,1,Yes,2018-03-14 00:00:00.000000000,2119
CUST-10084,Male,0.0,Yes,No,0.7821314565994254,No,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,35.59,35.99,2018-03-15,1,Yes,2018-03-15 00:00:00.000000000,2118
CUST-10085,Male,0.0,No,No,22.741261252611686,Yes,No,No,No internet service,No,No,Two year,Yes,Mailed check,68.17,1550.2717795905387,2018-03-16,1,Yes,2018-03-16 00:00:00.000000000,2117
CUST-10086,Female,0.0,No,No,30.225443306938153,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card (automatic),93.39,9879.37,2018-03-17,4,No,2018-03-17 00:00:00.000000000,2116
CUST-10087,Female,0.0,Yes,No,12.939306179833068,Yes,No,DSL,No,No,No,Month-to-month,No,Electronic check,78.95,1011.57,2018-03-18,1,Yes,2018-03-18 00:00:00.000000000,2115
CUST-10088,Male,0.0,No,No,33.9818621271059,Yes,No phone service,DSL,Yes,No,Yes,Month-to-month,No,Electronic check,24.7,839.39,2018-03-19,3,No,2018-03-19 00:00:00.000000000,2114
CUST-10089,Female,1.0,Yes,Yes,6.179469871191537,Yes,No,DSL,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),35.35,213.73,2018-03-19,5,Yes,2018-03-19 00:00:00.000000000,2114
CUST-10090,Male,1.0,Yes,Yes,6.002384527075975,Yes,No,DSL,Yes,Yes,Yes,Month-to-month,No,Electronic check,84.42,510.96,2018-03-20,4,Yes,2018-03-20 00:00:00.000000000,2113
CUST-10091,Female,1.0,Yes,No,4.225000839605807,No,no,DSL,No,Yes,No,Month-to-month,No,Mailed check,18.0,87.8,21/03/2018,3,Yes,2018-03-21 00:00:00.000000000,2112
CUST-10092,Female,0.0,No,No,11.164962438335463,Yes,no,DSL,No internet service,No,No,Two year,Yes,Bank transfer (automatic),74.86,831.79,2018-03-22,3,Yes,2018-03-22 00:00:00.000000000,2111
CUST-10093,Female,0.0,Yes,No,45.0575045605805,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),24.76,1117.73,"Mar 23, 2018",2,No,2018-03-23 00:00:00.000000000,2110
CUST-10094,Female,0.0,Yes,Yes,42.23399198989685,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),38.66,1649.96,"Mar 24, 2018",3,Yes,2018-03-24 00:00:00.000000000,2109
CUST-10095,Female,1.0,Yes,No,11.582433155938642,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Mailed check,22.37,246.09,25/03/2018,4,Yes,2018-03-25 00:00:00.000000000,2108
CUST-10096,Female,0.0,No,Yes,21.346824037277752,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),72.08,1552.22,2018-03-26,3,No,2018-03-26 00:00:00.000000000,2107
CUST-10097,Male,0.0,Yes,Yes,30.621248397552268,Yes,No phone service,DSL,No,No,Yes,Month-to-month,No,Credit card (automatic),98.19,2991.99,27/03/2018,3,Yes,2018-03-27 00:00:00.000000000,2106
CUST-10098,Male,0.0,Yes,No,6.624623257016269,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),75.14,497.77419153220245,2018-03-27,2,Yes,2018-03-27 00:00:00.000000000,2106
CUST-10099,Male,0.0,Yes,Yes,4.4182182463923905,Yes,Yes,Fiber optic,No,No,No,Month-to-month,No,Electronic check,78.43,344.39,2018-03-28,4,Yes,2018-03-28 00:00:00.000000000,2105
CUST-10100,Male,0.0,Yes,No,72.0,Yes,No,DSL,Yes,Yes,No,Month-to-month,No,Credit card (automatic),69.74,5029.06,2018-03-29,3,No,2018-03-29 00:00:00.000000000,2104
CUST-10101,Female,0.0,No,Yes,23.068235409575244,Yes,No,DSL,No,No,Yes,Month-to-month,No,Credit card (automatic),85.18,1959.83,2018-03-30,3,Yes,2018-03-30 00:00:00.000000000,2103
CUST-10102,Male,1.0,No,No,72.0,Yes,No,DSL,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),78.71,5669.45,31/03/2018,5,No,2018-03-31 00:00:00.000000000,2102
CUST-10103,Female,0.0,Yes,No,9.890908595114203,Yes,No,DSL,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),76.8,165.47,2018-04-01,2,Yes,2018-04-01 00:00:00.000000000,2101
CUST-10104,Male,0.0,Yes,No,41.33968637149272,Yes,No,DSL,No,No,Yes,Month-to-month,No,Mailed check,91.89,3798.703780676466,2018-04-02,2,No,2018-04-02 00:00:00.000000000,2100
CUST-10105,Male,0.0,Yes,No,6.043318521601481,Yes,yes,DSL,No,No,Yes,Two year,No,Bank transfer (automatic),88.73,534.97,2018-04-03,3,No,2018-04-03 00:00:00.000000000,2099
CUST-10106,Male,0.0,Yes,Yes,7.265478299621968,Yes,No,DSL,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),53.83,406.65,2018-04-03,2,Yes,2018-04-03 00:00:00.000000000,2099
CUST-10107,Female,0.0,Yes,No,17.21374372972546,Yes,No,DSL,No internet service,Yes,No,Month-to-month,No,Electronic check,18.0,297.94,2018-04-04,3,Yes,2018-04-04 00:00:00.000000000,2098
CUST-10108,Male,1.0,No,No,9.242425399293808,Yes,Yes,Fiber optic,No,No internet service,No,Month-to-month,Yes,Electronic check,71.97,670.34,2018-04-05,4,Yes,2018-04-05 00:00:00.000000000,2097
CUST-10109,Male,0.0,Yes,Yes,4.403234170109118,Yes,Yes,DSL,No,No internet service,No,One year,No,Electronic check,74.5,343.8,2018-04-06,1,Yes,2018-04-06 00:00:00.000000000,2096
CUST-10110,Male,1.0,Yes,No,7.320132723254755,No,No,DSL,No,No,No,Month-to-month,No,Credit card (automatic),51.49,369.98,2018-04-07,2,Yes,2018-04-07 00:00:00.000000000,2095
CUST-10111,Male,0.0,No,Yes,0.8736724040437106,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),70.3,57.88,2018-04-08,2,Yes,2018-04-08 00:00:00.000000000,2094
CUST-10112,Female,0.0,No,No,29.251872081042038,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,96.86,2825.92,2018-04-09,1,Yes,2018-04-09 00:00:00.000000000,2093
CUST-10113,Female,1.0,No,No,16.260083944985766,Yes,Yes,Fiber optic,No,No,No,Month-to-month,No,Credit card (automatic),120.0,1958.81,2018-04-10,2,Yes,2018-04-10 00:00:00.000000000,2092
CUST-10114,Female,0.0,Yes,Yes,2.3756230595707732,Yes,yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),69.11,172.63,2018-04-10,2,Yes,2018-04-10 00:00:00.000000000,2092
CUST-10115,Female,0.0,No,No,4.520942864544793,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),74.72,350.39,2018-04-11,3,Yes,2018-04-11 00:00:00.000000000,2091
CUST-10116,Female,0.0,Yes,No,2.5963354064865265,Yes,No,DSL,Yes,No internet service,No,One year,No,Electronic check,39.99,120.65,2018-04-12,4,No,2018-04-12 00:00:00.000000000,2090
CUST-10117,Male,0.0,No,No,22.75869513846627,Yes,No,DSL,Yes,Yes,Yes,One year,No,Mailed check,49.66,1116.89,"Apr 13, 2018",2,Yes,2018-04-13 00:00:00.000000000,2089
CUST-10118,Male,1.0,No,No,2.3747565436093794,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.62,143.95774167360057,2018-04-14,4,No,2018-04-14 00:00:00.000000000,2088
CUST-10119,Female,0.0,Yes,No,33.685730338114595,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.03,3359.48,2018-04-15,1,Yes,2018-04-15 00:00:00.000000000,2087
CUST-10120,Female,1.0,Yes,No,0.497380548264554,Yes,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,No,Mailed check,89.27,63.16,"Apr 16, 2018",4,Yes,2018-04-16 00:00:00.000000000,2086
CUST-10121,Male,1.0,Yes,No,6.884403262435382,Yes,No phone service,DSL,No,No internet service,Yes,Month-to-month,No,Mailed check,120.0,834.93,2018-04-17,4,Yes,2018-04-17 00:00:00.000000000,2085
CUST-10122,Male,0.0,Yes,Yes,53.12049704743936,Yes,Yes,Fiber optic,No,No,Yes,One year,Yes,Credit card (automatic),19.99,1071.3,2018-04-17,4,No,2018-04-17 00:00:00.000000000,2085
CUST-10123,Male,1.0,No,No,30.425618208536143,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,One year,Yes,Mailed check,24.99,752.26,"Apr 18, 2018",2,No,2018-04-18 00:00:00.000000000,2084
CUST-10124,Male,0.0,No,No,1.8184212764648606,Yes,No,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,97.76,186.1,2018-04-19,3,Yes,2018-04-19 00:00:00.000000000,2083
CUST-10125,Male,0.0,No,No,41.3057811778737,Yes,No,Fiber optic,Yes,No internet service,Yes,One year,Yes,Mailed check,108.17,4468.82,2018-04-20,4,Yes,2018-04-20 00:00:00.000000000,2082
CUST-10126,Female,0.0,No,No,16.303525225087164,Yes,No,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Electronic check,65.69,1081.65,2018-04-21,3,Yes,2018-04-21 00:00:00.000000000,2081
